Vertices,Edges,Edge probability,2^boolwidth,est min,est avg,est max
60,364,0.410078,13736,0.729167,3.193628,6.743590
60,715,0.776399,189,0.186335,0.792347,2.243478
60,201,0.238446,145698,2.042857,5.632063,8.658333
60,560,0.644994,1123,0.419298,1.951062,4.216667
60,684,0.755554,254,0.186335,0.972748,2.291667
60,430,0.472735,5173,0.765873,2.650661,4.433333
60,651,0.733588,381,0.208333,1.266839,2.291667
60,219,0.227488,98909,2.677778,5.440386,8.450000
60,227,0.252024,122497,3.128571,5.393639,7.433333
60,534,0.578899,1457,0.492157,1.801711,4.180556
60,663,0.720700,325,0.170455,1.183676,2.876812
60,251,0.291096,77478,3.009524,4.582161,6.741667
60,411,0.435428,7241,0.833333,2.576632,5.027778
60,541,0.610571,1391,0.143541,1.685150,3.088889
60,602,0.653826,682,0.419298,1.613045,3.245455
60,237,0.272210,80224,3.559524,5.696708,8.176190
60,727,0.768311,165,0.170455,1.064613,3.037037
60,552,0.622244,1275,0.398413,1.673091,3.455357
60,255,0.267562,63290,2.174242,4.742820,6.826190
60,592,0.655231,766,0.373611,1.340538,2.795455
60,252,0.308320,70333,2.222222,5.132227,6.934524
60,319,0.360305,23025,1.033333,3.524480,5.961111
60,593,0.666820,784,0.170455,1.301355,2.538462
60,396,0.431267,9753,1.044444,3.018267,4.933333
60,432,0.463340,5399,0.854167,2.710729,5.419780
60,466,0.511666,3339,0.925490,2.479980,4.800000
60,225,0.223717,127961,2.677778,5.609062,8.433333
60,602,0.699969,734,0.150000,1.537766,3.380952
60,353,0.386847,14333,0.729167,2.470643,4.290909
60,497,0.545987,2379,0.368347,2.215689,4.558824
60,550,0.625279,1188,0.373611,1.788265,3.201681
60,203,0.226912,109284,2.170635,5.278745,8.819048
60,281,0.314541,38543,1.161111,3.727704,5.924242
60,395,0.432973,8365,1.469298,2.896928,5.776190
60,678,0.772534,309,0.150000,1.147856,2.373333
60,494,0.536723,2574,0.430556,2.232978,4.169935
60,415,0.459485,6794,0.716667,2.474861,5.382576
60,189,0.218339,214070,2.659524,5.629630,9.601190
60,228,0.257133,118376,2.434524,4.948771,7.801190
60,286,0.308668,37880,1.915909,3.941700,6.942857
60,517,0.567989,1810,0.366667,1.689343,3.010256
